Pointing,Gl,Gb,RA,Dec
MMGPS_U_1119,-29.24670731475112,1.9502536684113778,15:59:52.16,-50:27:22.21
MMGPS_U_1120,-28.821339877280355,2.68701168199612,15:58:53.38,-49:37:13.02
MMGPS_U_1121,-29.24670731475112,3.4237696955808605,15:53:58.13,-49:19:47.84
MMGPS_U_1122,-28.821339877280355,4.160527709165603,15:53:6.44,-48:29:29.58
MMGPS_U_1123,-29.24670731475112,4.897285722750345,15:48:20.06,-48:11:8.93
MMGPS_U_1124,-28.821339877280355,5.634043736335087,15:47:34.73,-47:20:43.83
MMGPS_U_1125,-29.24670731475112,6.370801749919828,15:42:56.85,-47:01:30.78
MMGPS_U_1126,-28.821339877280355,7.107559763504572,15:42:17.22,-46:11:0.83
MMGPS_U_1127,-29.24670731475112,7.844317777089312,15:37:47.49,-45:50:58.23
MMGPS_U_1128,-28.821339877280355,8.581075790674056,15:37:12.93,-45:00:25.17
MMGPS_U_1129,-29.24670731475112,9.317833804258797,15:32:51.02,-44:39:35.68
MMGPS_U_1130,-28.821339877280355,10.054591817843537,15:32:20.95,-43:49:1.04
MMGPS_U_1131,-27.970605002338825,-10.574632562529235,17:09:18.56,-58:00:35.38
MMGPS_U_1132,-28.39597243980959,-9.837874548944493,17:02:57.43,-57:55:3.31
MMGPS_U_1133,-27.970605002338825,-9.10111653535975,17:00:26.01,-57:08:25.18
MMGPS_U_1134,-28.39597243980959,-8.36435852177501,16:54:15.03,-57:01:20.28
MMGPS_U_1135,-27.970605002338825,-7.627600508190268,16:51:58.43,-56:14:0.53
MMGPS_U_1136,-28.39597243980959,-6.890842494605526,16:45:57.67,-56:05:27.79
MMGPS_U_1137,-27.970605002338825,-6.154084481020783,16:43:54.75,-55:17:32.11
MMGPS_U_1138,-28.39597243980959,-5.417326467436042,16:38:4.2,-55:07:36.33
MMGPS_U_1139,-27.970605002338825,-4.6805684538513,16:36:13.85,-54:19:9.82
MMGPS_U_1140,-28.39597243980959,-3.9438104402665575,16:30:33.4,-54:07:55.63
MMGPS_U_1141,-27.970605002338825,-3.207052426681816,16:28:54.55,-53:19:2.87
MMGPS_U_1142,-28.39597243980959,-2.470294413097074,16:23:24.03,-53:06:34.64
MMGPS_U_1143,-27.970605002338825,-1.7335363995123316,16:21:55.67,-52:17:19.72
